Jugador,Champions (x5),Premier,La Liga,Serie A,Bundesliga,Ligue 1,Eredivisie,Selección (x4),Sudamérica (x3),Carrera,Carrera (x2),Goles de falta (x10),Mundiales (x40),Mundiales (x80),Final Champions (x250),Final Mundial (x600)
IVAN RAKITIC,0,0,61,0,12,0,0,0,0,0,0,10,0,0,1,0
JAMES RODRIGUEZ,0,0,29,0,0,0,0,0,21,0,0,13,6,6,0,0
JAMIE VARDY,2,145,0,0,0,0,0,0,0,244,244,0,0,0,0,0
JAVIER MASCHERANO,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
JAVIER ZANETTI,2,0,0,12,0,0,0,0,5,0,0,0,1,1,0,0
JEROME BOATENG,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
JESUS NAVAS,0,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0
JOHAN CRUYFF,0,0,47,0,0,0,219,0,0,392,392,0,3,3,2,0
JORDI ALBA,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
JOSHUA KIMMICH,0,0,0,0,29,0,0,0,0,0,0,2,0,0,0,0
JUAN CUADRADO,0,0,0,43,0,0,0,11,2,66,66,2,2,2,0,0
JUDE BELLINGHAM,13,0,0,0,12,0,0,6,0,0,0,0,1,1,0,0
JURGEN KLINSMANN,0,30,0,0,110,0,0,0,0,322,322,0,11,11,0,0
KAI HAVERTZ,11,0,0,0,36,0,0,20,0,164,164,0,2,2,1,0
KAKA,30,0,0,77,0,0,0,0,0,240,240,0,1,1,0,0
KIERAN TRIPPIER,0,0,0,0,0,0,0,0,0,16,16,9,0,0,0,0
KLOSE,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0
KUN AGUERO,41,184,75,0,0,0,0,0,0,426,426,5,0,0,0,0
KYLE WALKER,0,8,0,0,0,0,0,0,0,13,13,3,0,0,0,0
LAMINE YAMAL,4,0,14,0,0,0,0,4,0,0,0,0,0,0,0,0
LANDON DONOVAN,0,0,0,0,0,0,0,57,0,243,243,3,5,5,0,0
LAURENT BLANC,0,0,0,12,0,81,0,0,0,0,0,1,0,0,0,0
